country;year;sex;age;suicides_no;population;suicides/100k pop;country-year;HDI for year; gdp_for_year ($) ;gdp_per_capita ($);generation
Albania;1987;male;15-24 years;21;312900;июн.71;Albania1987;;2,156,624,900;796;Generation X
Albania;1987;male;35-54 years;16;308000;май.19;Albania1987;;2,156,624,900;796;Silent
Albania;1987;female;15-24 years;14;289700;апр.83;Albania1987;;2,156,624,900;796;Generation X
Albania;1987;male;75+ years;1;21800;апр.59;Albania1987;;2,156,624,900;796;G.I. Generation
Albania;1987;male;25-34 years;9;274300;мар.28;Albania1987;;2,156,624,900;796;Boomers
Albania;1987;female;75+ years;1;35600;фев.81;Albania1987;;2,156,624,900;796;G.I. Generation
Albania;1987;female;35-54 years;6;278800;фев.15;Albania1987;;2,156,624,900;796;Silent
Albania;1987;female;25-34 years;4;257200;янв.56;Albania1987;;2,156,624,900;796;Boomers
Albania;1987;male;55-74 years;1;137500;0.73;Albania1987;;2,156,624,900;796;G.I. Generation
Albania;1987;female;5-14 years;0;311000;0;Albania1987;;2,156,624,900;796;Generation X
Albania;1987;female;55-74 years;0;144600;0;Albania1987;;2,156,624,900;796;G.I. Generation
Albania;1987;male;5-14 years;0;338200;0;Albania1987;;2,156,624,900;796;Generation X
Albania;1988;female;75+ years;2;36400;май.49;Albania1988;;2,126,000,000;769;G.I. Generation
Albania;1988;male;15-24 years;17;319200;май.33;Albania1988;;2,126,000,000;769;Generation X
Albania;1988;male;75+ years;1;22300;апр.48;Albania1988;;2,126,000,000;769;G.I. Generation
Albania;1988;male;35-54 years;14;314100;апр.46;Albania1988;;2,126,000,000;769;Silent
Albania;1988;male;55-74 years;4;140200;фев.85;Albania1988;;2,126,000,000;769;G.I. Generation
Albania;1988;female;15-24 years;8;295600;фев.71;Albania1988;;2,126,000,000;769;Generation X
Albania;1988;female;55-74 years;3;147500;02.мар;Albania1988;;2,126,000,000;769;G.I. Generation
Albania;1988;female;25-34 years;5;262400;янв.91;Albania1988;;2,126,000,000;769;Boomers
Albania;1988;male;25-34 years;5;279900;янв.79;Albania1988;;2,126,000,000;769;Boomers
Albania;1988;female;35-54 years;4;284500;янв.41;Albania1988;;2,126,000,000;769;Silent
Albania;1988;female;5-14 years;0;317200;0;Albania1988;;2,126,000,000;769;Generation X
Albania;1988;male;5-14 years;0;345000;0;Albania1988;;2,126,000,000;769;Generation X
Albania;1989;male;75+ years;2;22500;авг.89;Albania1989;;2,335,124,988;833;G.I. Generation
Albania;1989;male;25-34 years;18;283600;июн.35;Albania1989;;2,335,124,988;833;Boomers
Albania;1989;male;35-54 years;15;318400;апр.71;Albania1989;;2,335,124,988;833;Silent
Albania;1989;male;55-74 years;6;142100;апр.22;Albania1989;;2,335,124,988;833;G.I. Generation
Albania;1989;male;15-24 years;12;323500;мар.71;Albania1989;;2,335,124,988;833;Generation X
Albania;1989;female;35-54 years;7;288600;фев.43;Albania1989;;2,335,124,988;833;Silent
Albania;1989;female;15-24 years;5;299900;янв.67;Albania1989;;2,335,124,988;833;Generation X
Albania;1989;female;25-34 years;2;266300;0.75;Albania1989;;2,335,124,988;833;Boomers
Albania;1989;female;55-74 years;1;149600;0.67;Albania1989;;2,335,124,988;833;G.I. Generation
Albania;1989;female;5-14 years;0;321900;0;Albania1989;;2,335,124,988;833;Generation X
Albania;1989;female;75+ years;0;37000;0;Albania1989;;2,335,124,988;833;G.I. Generation
Albania;1989;male;5-14 years;0;349700;0;Albania1989;;2,335,124,988;833;Generation X
Albania;1992;male;35-54 years;12;343800;мар.49;Albania1992;;709,452,584;251;Boomers
Albania;1992;male;15-24 years;9;263700;мар.41;Albania1992;;709,452,584;251;Generation X
Albania;1992;male;55-74 years;5;159500;мар.13;Albania1992;;709,452,584;251;Silent
Albania;1992;male;25-34 years;7;245500;фев.85;Albania1992;;709,452,584;251;Boomers
Albania;1992;female;15-24 years;7;292400;фев.39;Albania1992;;709,452,584;251;Generation X
Albania;1992;female;25-34 years;4;267400;01.май;Albania1992;;709,452,584;251;Boomers
Albania;1992;female;35-54 years;2;323100;0.62;Albania1992;;709,452,584;251;Boomers
Albania;1992;female;55-74 years;1;164900;0.61;Albania1992;;709,452,584;251;Silent
Albania;1992;female;5-14 years;0;336700;0;Albania1992;;709,452,584;251;Millenials
Albania;1992;female;75+ years;0;38700;0;Albania1992;;709,452,584;251;G.I. Generation
Albania;1992;male;5-14 years;0;362900;0;Albania1992;;709,452,584;251;Millenials
Albania;1992;male;75+ years;0;23900;0;Albania1992;;709,452,584;251;G.I. Generation
Albania;1993;male;15-24 years;18;243300;07.апр;Albania1993;;1,228,071,038;437;Generation X
Albania;1993;male;55-74 years;7;165000;апр.24;Albania1993;;1,228,071,038;437;Silent
Albania;1993;male;75+ years;1;24200;апр.13;Albania1993;;1,228,071,038;437;G.I. Generation
Albania;1993;male;25-34 years;9;230100;мар.91;Albania1993;;1,228,071,038;437;Boomers
Albania;1993;female;15-24 years;10;285300;мар.51;Albania1993;;1,228,071,038;437;Generation X
Albania;1993;male;35-54 years;10;350300;фев.85;Albania1993;;1,228,071,038;437;Boomers
Albania;1993;female;25-34 years;7;261800;фев.67;Albania1993;;1,228,071,038;437;Boomers
Albania;1993;female;35-54 years;7;331200;02.ноя;Albania1993;;1,228,071,038;437;Boomers
Albania;1993;female;55-74 years;2;169500;янв.18;Albania1993;;1,228,071,038;437;Silent
Albania;1993;female;5-14 years;1;340300;0.29;Albania1993;;1,228,071,038;437;Millenials
Albania;1993;male;5-14 years;1;367000;0.27;Albania1993;;1,228,071,038;437;Millenials
Albania;1993;female;75+ years;0;39300;0;Albania1993;;1,228,071,038;437;G.I. Generation
Albania;1994;male;75+ years;2;24600;авг.13;Albania1994;;1,985,673,798;697;G.I. Generation
Albania;1994;male;55-74 years;11;171400;июн.42;Albania1994;;1,985,673,798;697;Silent
Albania;1994;female;75+ years;2;39900;05.янв;Albania1994;;1,985,673,798;697;G.I. Generation
Albania;1994;male;25-34 years;6;231400;фев.59;Albania1994;;1,985,673,798;697;Boomers
Albania;1994;male;35-54 years;9;362800;фев.48;Albania1994;;1,985,673,798;697;Boomers
Albania;1994;male;15-24 years;6;242200;фев.48;Albania1994;;1,985,673,798;697;Generation X
Albania;1994;female;15-24 years;6;282600;02.дек;Albania1994;;1,985,673,798;697;Generation X
Albania;1994;female;25-34 years;4;261100;янв.53;Albania1994;;1,985,673,798;697;Boomers
Albania;1994;female;35-54 years;2;342500;0.58;Albania1994;;1,985,673,798;697;Boomers
Albania;1994;female;55-74 years;1;174600;0.57;Albania1994;;1,985,673,798;697;Silent
Albania;1994;male;5-14 years;1;371800;0.27;Albania1994;;1,985,673,798;697;Millenials
Albania;1994;female;5-14 years;0;344400;0;Albania1994;;1,985,673,798;697;Millenials
Albania;1995;male;25-34 years;13;232900;май.58;Albania1995;0.619;2,424,499,009;835;Generation X
Albania;1995;male;55-74 years;9;178000;05.июн;Albania1995;0.619;2,424,499,009;835;Silent
Albania;1995;female;75+ years;2;40800;04.сен;Albania1995;0.619;2,424,499,009;835;G.I. Generation
Albania;1995;female;15-24 years;13;283500;апр.59;Albania1995;0.619;2,424,499,009;835;Generation X
Albania;1995;male;15-24 years;11;241200;апр.56;Albania1995;0.619;2,424,499,009;835;Generation X
Albania;1995;male;75+ years;1;25100;мар.98;Albania1995;0.619;2,424,499,009;835;G.I. Generation
Albania;1995;male;35-54 years;14;375900;мар.72;Albania1995;0.619;2,424,499,009;835;Boomers
Albania;1995;female;25-34 years;7;264000;фев.65;Albania1995;0.619;2,424,499,009;835;Generation X
Albania;1995;female;35-54 years;8;356400;фев.24;Albania1995;0.619;2,424,499,009;835;Boomers
Albania;1995;male;5-14 years;6;376500;янв.59;Albania1995;0.619;2,424,499,009;835;Millenials
Albania;1995;female;55-74 years;2;180400;01.ноя;Albania1995;0.619;2,424,499,009;835;Silent
Albania;1995;female;5-14 years;2;348700;0.57;Albania1995;0.619;2,424,499,009;835;Millenials
Albania;1996;male;75+ years;2;25400;июл.87;Albania1996;;3,314,898,292;1127;G.I. Generation
